Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
AMZN,ACHAT,3.81,216.3699951171875,Baisse,41.4,Consumer Cyclical,44462720.0,0,2025-10-13 14:26:48
BABA,ACHAT,3.957,159.00999450683594,Baisse,42.37,Consumer Cyclical,15029176.67,0,2025-10-13 14:26:48
EEM,ACHAT,7.062,51.939998626708984,Baisse,40.91,ℹ️Inconnu!!,18751023.33,0,2025-10-13 14:26:48
GLD,VENTE,-0.629,369.1199951171875,Hausse,75.01,ℹ️Inconnu!!,15598696.67,0,2025-10-13 14:26:48
RHM.DE,ACHAT,5.212,1868.0,Baisse,49.6,Industrials,179140.4,0,2025-10-13 14:26:48
SPY,ACHAT,7.062,653.02001953125,Baisse,40.77,ℹ️Inconnu!!,52182516.67,0,2025-10-13 14:26:48
UEC,ACHAT,5.962,14.649999618530273,Hausse,65.18,Energy,18078506.67,0,2025-10-13 14:26:48
