# Quelle: Nasdaq Historical Quotes, abgerufen am 16.09.2026
# Indexiert auf 2026-01-02 = 100
datum,AGI,GLD,GDX
2026-08-28,95.68,102.66,116.24
2026-08-31,95.31,102.55,114.91
2026-09-01,90.91,99.62,110.43
2026-09-02,94.06,101.13,113.88
2026-09-03,98.13,103.00,118.38
2026-09-04,96.25,102.13,115.78
2026-09-08,94.90,100.36,114.79
2026-09-09,96.15,101.27,116.03
2026-09-10,92.87,99.52,112.01
2026-09-11,93.52,100.12,113.26
2026-09-14,92.84,98.63,109.81
