import time: self [us] | cumulative | imported package
import time:      2338 |       5666 |               numpy.lib._scimath_impl
import time:      2726 |       8391 |             numpy.lib.scimath
import time:      1667 |       1667 |               numpy.lib._stride_tricks_impl
import time:      1300 |       2967 |             numpy.lib.stride_tricks
import time:      2018 |       2018 |                     numpy.linalg.linalg
import time:      1893 |       1893 |                       numpy.lib._twodim_base_impl
import time:      2029 |       2029 |                       numpy.linalg._umath_linalg
import time:      1956 |       1956 |                         numpy._typing._nested_sequence
import time:      1991 |       1991 |                         numpy._typing._nbit_base
import time:      2516 |       2516 |                         numpy._typing._nbit
import time:      3789 |       3789 |                         numpy._typing._char_codes
import time:      2003 |       2003 |                         numpy._typing._scalars
import time:      1766 |       1766 |                         numpy._typing._shape
import time:      4234 |       4234 |                         numpy._typing._dtype_like
import time:      5321 |       5321 |                         numpy._typing._array_like
import time:      1900 |       1900 |                         numpy._typing._ufunc
import time:      1942 |      27415 |                       numpy._typing
import time:      3067 |      34402 |                     numpy.linalg._linalg
import time:      2227 |      38647 |                   numpy.linalg
import time:      2253 |      40900 |                 numpy.matrixlib.defmatrix
import time:      1524 |      42423 |               numpy.matrixlib
import time:      2309 |       2309 |                 numpy.lib._histograms_impl
import time:      3032 |       5340 |               numpy.lib._function_base_impl
import time:      1837 |      49600 |             numpy.lib._index_tricks_impl
import time:      2169 |       2169 |             numpy.lib._nanfunctions_impl
import time:      1990 |       1990 |             numpy.lib._shape_base_impl
import time:      3586 |       3586 |             numpy.lib._arraysetops_impl
import time:      3247 |       3247 |             numpy.lib._polynomial_impl
import time:      3021 |       3021 |             numpy.lib._arrayterator_impl
import time:      2121 |       2121 |             numpy.lib._arraypad_impl
import time:      1900 |       1900 |             numpy.lib._version
import time:      2825 |     114882 |           numpy.lib
import time:      1984 |       1984 |           numpy._array_api_info
import time:      4310 |     273959 |         numpy
import time:      1859 |       1859 |             pytz.exceptions
import time:      1683 |       1683 |             pytz.lazy
import time:        61 |         61 |                 _bisect
import time:      1546 |       1606 |               bisect
import time:      1620 |       3226 |             pytz.tzinfo
import time:      1660 |       1660 |             pytz.tzfile
import time:      3021 |      11448 |           pytz
import time:      2466 |       2466 |             dateutil._version
import time:      2774 |       5239 |           dateutil
import time:      3141 |       3141 |               sysconfig
import time:        51 |         51 |               _sysconfig
import time:      3270 |       6461 |             pandas.compat._constants
import time:      2859 |       2859 |                 _compression
import time:      4384 |       4384 |                 _bz2
import time:      2232 |       9474 |               bz2
import time:      4434 |       4434 |                 _lzma
import time:      2231 |       6664 |               lzma
import time:      1842 |      17980 |             pandas.compat.compressors
import time:      2528 |       2528 |                 pandas.util
import time:      5359 |       7887 |               pandas.util.version
import time:      2472 |      10358 |             pandas.compat.numpy
import time:       456 |        456 |               pyarrow
import time:      2361 |       2817 |             pandas.compat.pyarrow
import time:      2260 |      39874 |           pandas.compat
import time:      3332 |       3332 |                       numpy.random._common
import time:       131 |        131 |                           binascii
import time:      5356 |       5487 |                         base64
import time:     10054 |      10054 |                           _hashlib
import time:       100 |        100 |                             _blake2
import time:      2357 |       2456 |                           hashlib
import time:      2756 |      15265 |                         hmac
import time:       381 |        381 |                           _random
import time:      3415 |       3796 |                         random
import time:      2132 |      26678 |                       secrets
import time:      3527 |      33536 |                     numpy.random.bit_generator
import time:      3537 |       3537 |                       numpy.random._bounded_integers
import time:      6425 |       6425 |                       numpy.random._mt19937
import time:      5155 |      15116 |                     numpy.random.mtrand
import time:      3993 |       3993 |                     numpy.random._philox
import time:      3234 |       3234 |                     numpy.random._pcg64
import time:      2502 |       2502 |                     numpy.random._sfc64
import time:      7347 |       7347 |                     numpy.random._generator
import time:      2867 |      68593 |                   numpy.random._pickle
import time:      3034 |      71627 |                 numpy.random
import time:      6669 |      78295 |               pandas._typing
import time:      2646 |       2646 |               pandas.util._exceptions
import time:      4076 |      85017 |             pandas._config.config
import time:      2313 |       2313 |             pandas._config.dates
import time:       136 |        136 |                 _locale
import time:      5131 |       5266 |               locale
import time:      4575 |       9841 |             pandas._config.display
import time:      2185 |      99354 |           pandas._config
import time:      2310 |       2310 |             pandas.core
import time:      8681 |      10991 |           pandas.core.config_init
import time:     10730 |      10730 |               pandas._libs.pandas_parser
import time:      4575 |       4575 |               pandas._libs.pandas_datetime
import time:      2306 |       2306 |                           pandas._libs.tslibs.ccalendar
import time:      2249 |       2249 |                           pandas._libs.tslibs.np_datetime
import time:      3837 |       8392 |                         pandas._libs.tslibs.dtypes
import time:      4278 |       4278 |                           pandas._libs.tslibs.base
import time:      2663 |       2663 |                               pandas._libs.tslibs.nattype
import time:      2270 |       2270 |                                   pandas.compat._optional
import time:      2679 |       2679 |                                     zoneinfo._tzpath
import time:      2578 |       2578 |                                     zoneinfo._common
import time:      4454 |       4454 |                                     _zoneinfo
import time:      1794 |      11504 |                                   zoneinfo
import time:      2211 |       2211 |                                           importlib._abc
import time:       349 |       2560 |                                         importlib.util
import time:      3152 |       5712 |                                       six
import time:       102 |        102 |                                       six.moves
import time:      1959 |       1959 |                                       dateutil.tz._common
import time:      1785 |       1785 |                                       dateutil.tz._factories
import time:      2882 |       2882 |                                         ctypes.wintypes
import time:      3666 |       6548 |                                       dateutil.tz.win
import time:      3577 |      19681 |                                     dateutil.tz.tz
import time:      2605 |      22285 |                                   dateutil.tz
import time:      6341 |      42399 |                                 pandas._libs.tslibs.timezones
import time:      3462 |       3462 |                                     calendar
import time:      3378 |       6839 |                                   _strptime
import time:       202 |        202 |                                       errno
import time:      2364 |       2364 |                                       signal
import time:       546 |        546 |                                       fcntl
import time:       121 |        121 |                                       msvcrt
import time:      3063 |       6294 |                                     subprocess
import time:      2432 |       8726 |                                   pandas._config.localization
import time:      2276 |      17840 |                                 pandas._libs.tslibs.fields
import time:      3502 |      63740 |                               pandas._libs.tslibs.timedeltas
import time:      2872 |       2872 |                               pandas._libs.tslibs.tzconversion
import time:      2801 |      72075 |                             pandas._libs.tslibs.timestamps
import time:      1955 |       1955 |                             pandas._libs.properties
import time:      4071 |      78099 |                           pandas._libs.tslibs.offsets
import time:      7078 |       7078 |                               _decimal
import time:      2056 |       9134 |                             decimal
import time:      2355 |       2355 |                                 dateutil._common
import time:      5141 |       7496 |                               dateutil.parser._parser
import time:      2630 |       2630 |                               dateutil.parser.isoparser
import time:      2791 |      12916 |                             dateutil.parser
import time:      3088 |       3088 |                             pandas._libs.tslibs.strptime
import time:      3025 |      28161 |                           pandas._libs.tslibs.parsing
import time:      2649 |     113186 |                         pandas._libs.tslibs.conversion
import time:      2426 |       2426 |                         pandas._libs.tslibs.period
import time:      1984 |       1984 |                         pandas._libs.tslibs.vectorized
import time:      2951 |     128938 |                       pandas._libs.tslibs
import time:        51 |     128988 |                     pandas._libs.tslibs.nattype
import time:      2507 |       2507 |                     pandas._libs.ops_dispatch
import time:      4471 |     135965 |                   pandas._libs.missing
import time:      3781 |     139746 |                 pandas._libs.hashtable
import time:      3139 |       3139 |                 pandas._libs.algos
import time:      2910 |     145794 |               pandas._libs.interval
import time:      2334 |     163431 |             pandas._libs
import time:      1965 |       1965 |               pandas.core.dtypes
import time:       465 |        465 |                 pyarrow
import time:      2760 |       3225 |               pandas._libs.lib
import time:      2231 |       2231 |               pandas.errors
import time:      2928 |       2928 |                 pandas.core.dtypes.generic
import time:      1945 |       4873 |               pandas.core.dtypes.base
import time:      1792 |       1792 |               pandas.core.dtypes.inference
import time:      3024 |      17107 |             pandas.core.dtypes.dtypes
import time:      1757 |       1757 |               pandas.core.dtypes.common
import time:      1866 |       3622 |             pandas.core.dtypes.missing
import time:      1827 |       1827 |               pandas.util._decorators
import time:      1851 |       1851 |                   pandas.io
import time:      3091 |       4942 |                 pandas.io._util
import time:      2168 |       7109 |               pandas.core.dtypes.cast
import time:      2679 |       2679 |                 pandas.core.dtypes.astype
import time:      1766 |       4445 |               pandas.core.dtypes.concat
import time:      2130 |       2130 |                 pandas.core.array_algos
import time:      7887 |       7887 |                     numpy.ma.core
import time:      3156 |       3156 |                     numpy.ma.extras
import time:      1756 |      12798 |                   numpy.ma
import time:      1912 |       1912 |                   pandas.core.common
import time:      1829 |      16538 |                 pandas.core.construction
import time:      2163 |      20830 |               pandas.core.array_algos.take
import time:      1713 |       1713 |                 pandas.core.indexers.utils
import time:      1714 |       3427 |               pandas.core.indexers
import time:      2218 |      39853 |             pandas.core.algorithms
import time:      2124 |       2124 |                 pandas.core.arrays.arrow.accessors
import time:      3877 |       3877 |                   unicodedata
import time:      1895 |       1895 |                   pandas.util._validators
import time:      2885 |       2885 |                   pandas.core.missing
import time:      2104 |       2104 |                       pandas._libs.ops
import time:      1570 |       1570 |                       pandas.core.roperator
import time:      1745 |       1745 |                       pandas.core.computation
import time:      1931 |       1931 |                         pandas.core.computation.check
import time:      2398 |       4329 |                       pandas.core.computation.expressions
import time:      1960 |       1960 |                       pandas.core.ops.missing
import time:      2538 |       2538 |                       pandas.core.ops.dispatch
import time:      1733 |       1733 |                       pandas.core.ops.invalid
import time:      2183 |      18159 |                     pandas.core.ops.array_ops
import time:      1612 |       1612 |                     pandas.core.ops.common
import time:      2005 |       2005 |                     pandas.core.ops.docstrings
import time:      1515 |       1515 |                     pandas.core.ops.mask_ops
import time:      2629 |      25918 |                   pandas.core.ops
import time:      1954 |       1954 |                   pandas.core.arraylike
import time:      1647 |       1647 |                   pandas.core.arrays._arrow_string_mixins
import time:      1423 |       1423 |                   pandas.core.arrays._utils
import time:      2329 |       2329 |                     pandas.compat.numpy.function
import time:      1710 |       1710 |                     pandas.core.array_algos.quantile
import time:      1881 |       1881 |                     pandas.core.sorting
import time:      3694 |       9613 |                   pandas.core.arrays.base
import time:      4097 |       4097 |                     pandas.core.nanops
import time:      3431 |       3431 |                     pandas.core.array_algos.masked_accumulations
import time:      2324 |       2324 |                     pandas.core.array_algos.masked_reductions
import time:      1959 |       1959 |                       pandas.core.util
import time:      2279 |       2279 |                       pandas._libs.hashing
import time:      2067 |       6305 |                     pandas.core.util.hashing
import time:      2967 |      19121 |                   pandas.core.arrays.masked
import time:      2790 |       2790 |                     pandas._libs.arrays
import time:      2408 |       2408 |                       pandas.core.arrays.numeric
import time:      4841 |       7249 |                     pandas.core.arrays.floating
import time:      3103 |       3103 |                     pandas.core.arrays.integer
import time:      3189 |       3189 |                         pandas.core.array_algos.transforms
import time:      7000 |      10188 |                       pandas.core.arrays._mixins
import time:      3068 |       3068 |                         pandas.core.strings
import time:      4936 |       4936 |                         pandas.core.strings.base
import time:      3601 |      11604 |                       pandas.core.strings.object_array
import time:      5363 |      27154 |                     pandas.core.arrays.numpy_
import time:      4913 |       4913 |                     pandas.io.formats
import time:       562 |        562 |                               posix
import time:       398 |        398 |                               posix
import time:       291 |       1250 |                             posixpath
import time:      5785 |       7035 |                           fnmatch
import time:       128 |        128 |                           zlib
import time:      9682 |      16844 |                         shutil
import time:     11113 |      27956 |                       pandas.io.formats.console
import time:     11009 |      38965 |                     pandas.io.formats.printing
import time:      3035 |      87206 |                   pandas.core.arrays.string_
import time:      3559 |       3559 |                     pandas.tseries
import time:      3747 |       7306 |                   pandas.tseries.frequencies
import time:      4152 |     166992 |                 pandas.core.arrays.arrow.array
import time:      2661 |     171776 |               pandas.core.arrays.arrow
import time:      4215 |       4215 |               pandas.core.arrays.boolean
import time:       278 |        278 |                   _csv
import time:      6972 |       7249 |                 csv
import time:      2889 |       2889 |                 pandas.core.accessor
import time:      4583 |       4583 |                 pandas.core.base
import time:      4928 |      19648 |               pandas.core.arrays.categorical
import time:      4551 |       4551 |                 pandas._libs.tslib
import time:      3069 |       3069 |                   pandas.core.array_algos.datetimelike_accumulations
import time:      4397 |       7465 |                 pandas.core.arrays.datetimelike
import time:      3295 |       3295 |                 pandas.core.arrays._ranges
import time:      3749 |       3749 |                 pandas.tseries.offsets
import time:      5257 |      24314 |               pandas.core.arrays.datetimes
import time:      5120 |       5120 |                 pandas.core.arrays.timedeltas
import time:      4661 |       9780 |               pandas.core.arrays.interval
import time:      4934 |       4934 |               pandas.core.arrays.period
import time:      3229 |       3229 |                     pandas._libs.sparse
import time:      3846 |       7075 |                   pandas.core.arrays.sparse.array
import time:      3463 |      10538 |                 pandas.core.arrays.sparse.accessor
import time:      3520 |      14058 |               pandas.core.arrays.sparse
import time:      4262 |       4262 |               pandas.core.arrays.string_arrow
import time:      3130 |     256114 |             pandas.core.arrays
import time:      2926 |       2926 |             pandas.core.flags
import time:      3717 |       3717 |                   pandas._libs.internals
import time:      2485 |       2485 |                     pandas.core._numba
import time:      2366 |       4850 |                   pandas.core._numba.executor
import time:      2954 |      11520 |                 pandas.core.apply
import time:      3078 |       3078 |                     copy
import time:       178 |        178 |                     gc
import time:      2503 |       2503 |                       pandas._libs.indexing
import time:      3009 |       3009 |                         pandas.core.indexes
import time:      4014 |       4014 |                           pandas._libs.index
import time:      3562 |       3562 |                           pandas._libs.writers
import time:      3686 |       3686 |                           pandas._libs.join
import time:      3641 |       3641 |                           pandas.core.array_algos.putmask
import time:      3321 |       3321 |                           pandas.core.indexes.frozen
import time:      6948 |       6948 |                           pandas.core.strings.accessor
import time:      6321 |      31491 |                         pandas.core.indexes.base
import time:      3062 |       3062 |                           pandas.core.indexes.extension
import time:      2304 |       5365 |                         pandas.core.indexes.category
import time:      2686 |       2686 |                             pandas.core.indexes.range
import time:      1896 |       1896 |                               pandas.core.tools
import time:      3213 |       5109 |                             pandas.core.tools.timedeltas
import time:      2866 |      10660 |                           pandas.core.indexes.datetimelike
import time:      3440 |       3440 |                           pandas.core.tools.times
import time:      4363 |      18462 |                         pandas.core.indexes.datetimes
import time:      3197 |       3197 |                           pandas.core.indexes.multi
import time:      2581 |       2581 |                           pandas.core.indexes.timedeltas
import time:      4030 |       9807 |                         pandas.core.indexes.interval
import time:      2119 |       2119 |                         pandas.core.indexes.period
import time:      2605 |      72854 |                       pandas.core.indexes.api
import time:      3841 |      79197 |                     pandas.core.indexing
import time:      1849 |       1849 |                     pandas.core.sample
import time:      3098 |       3098 |                     pandas.core.array_algos.replace
import time:      3580 |       3580 |                         pandas.core.internals.blocks
import time:      3144 |       6724 |                       pandas.core.internals.api
import time:      1802 |       1802 |                         pandas.core.internals.base
import time:      3282 |       3282 |                           pandas.core.internals.ops
import time:      3538 |       6819 |                         pandas.core.internals.managers
import time:      2296 |      10915 |                       pandas.core.internals.array_manager
import time:      2449 |       2449 |                       pandas.core.internals.concat
import time:      2154 |      22240 |                     pandas.core.internals
import time:      2262 |       2262 |                     pandas.core.internals.construction
import time:      1767 |       1767 |                       pandas.core.methods
import time:      2244 |       2244 |                         pandas.core.reshape
import time:      3494 |       5738 |                       pandas.core.reshape.concat
import time:      2953 |       2953 |                           dataclasses
import time:      2538 |       2538 |                           gzip
import time:       112 |        112 |                           mmap
import time:      4063 |       4063 |                               glob
import time:      3577 |       7639 |                             pathlib._abc
import time:       764 |        764 |                               pwd
import time:       396 |        396 |                               grp
import time:      3809 |       4968 |                             pathlib._local
import time:      2895 |      15501 |                           pathlib
import time:      1062 |       1062 |                             pwd
import time:       808 |        808 |                             grp
import time:      4696 |       6565 |                           tarfile
import time:      2454 |       2454 |                             urllib
import time:      3204 |       3204 |                             ipaddress
import time:      3772 |       9430 |                           urllib.parse
import time:      2576 |       2576 |                               zipfile._path.glob
import time:      2695 |       5271 |                             zipfile._path
import time:      3096 |       8366 |                           zipfile
import time:      2519 |       2519 |                           pandas.core.shared_docs
import time:      3608 |      51589 |                         pandas.io.common
import time:      2991 |      54580 |                       pandas.io.formats.format
import time:      2141 |      64224 |                     pandas.core.methods.describe
import time:      1904 |       1904 |                           pandas._libs.window
import time:      6228 |       8132 |                         pandas._libs.window.aggregations
import time:      2054 |       2054 |                           pandas._libs.window.indexers
import time:      2398 |       4451 |                         pandas.core.indexers.objects
import time:      2105 |       2105 |                         pandas.core.util.numba_
import time:      1782 |       1782 |                         pandas.core.window.common
import time:      1649 |       1649 |                         pandas.core.window.doc
import time:      2067 |       2067 |                         pandas.core.window.numba_
import time:      2169 |       2169 |                         pandas.core.window.online
import time:      4276 |       4276 |                         pandas.core.window.rolling
import time:      3074 |      29701 |                       pandas.core.window.ewm
import time:      5463 |       5463 |                       pandas.core.window.expanding
import time:      2556 |      37719 |                     pandas.core.window
import time:      8095 |     221937 |                   pandas.core.generic
import time:      3644 |       3644 |                   pandas.core.methods.selectn
import time:      2642 |       2642 |                     pandas.core.reshape.util
import time:      2060 |       2060 |                     pandas.core.tools.numeric
import time:      2410 |       7111 |                   pandas.core.reshape.melt
import time:      3465 |       3465 |                     pandas._libs.reshape
import time:      3884 |       3884 |                     pandas.core.indexes.accessors
import time:      1759 |       1759 |                       pandas.arrays
import time:      2626 |       4385 |                     pandas.core.tools.datetimes
import time:      2463 |       2463 |                     pandas.io.formats.info
import time:      3006 |       3006 |                       pandas.plotting._core
import time:      2836 |       2836 |                       pandas.plotting._misc
import time:      1809 |       7651 |                     pandas.plotting
import time:      6452 |      28298 |                   pandas.core.series
import time:      8836 |     269824 |                 pandas.core.frame
import time:      3097 |       3097 |                 pandas.core.groupby.base
import time:      3597 |       3597 |                   pandas._libs.groupby
import time:      1955 |       1955 |                     pandas.core.groupby.categorical
import time:      2877 |       4832 |                   pandas.core.groupby.grouper
import time:      3150 |      11578 |                 pandas.core.groupby.ops
import time:      1774 |       1774 |                   pandas.core.groupby.numba_
import time:      1780 |       1780 |                   pandas.core.groupby.indexing
import time:      5024 |       8577 |                 pandas.core.groupby.groupby
import time:      5118 |     309712 |               pandas.core.groupby.generic
import time:      2321 |     312032 |             pandas.core.groupby
import time:      4871 |     799954 |           pandas.core.api
import time:      2255 |       2255 |           pandas.tseries.api
import time:      2818 |       2818 |                   pandas.core.computation.common
import time:      2226 |       5043 |                 pandas.core.computation.align
import time:      5808 |       5808 |                     pprint
import time:      2968 |       8775 |                   pandas.core.computation.scope
import time:      3552 |      12326 |                 pandas.core.computation.ops
import time:      2162 |      19531 |               pandas.core.computation.engines
import time:      3920 |       3920 |                 pandas.core.computation.parsing
import time:      5316 |       9235 |               pandas.core.computation.expr
import time:      2778 |      31543 |             pandas.core.computation.eval
import time:      2372 |      33915 |           pandas.core.computation.api
import time:      2257 |       2257 |             pandas.core.reshape.encoding
import time:      6300 |       6300 |                 _uuid
import time:      4919 |      11218 |               uuid
import time:      4692 |      15910 |             pandas.core.reshape.merge
import time:      3890 |       3890 |             pandas.core.reshape.pivot
