import time: self [us] | cumulative | imported package
import time:      3635 |       3635 |               pandas.core.computation.pytables
import time:      5722 |       9356 |             pandas.io.pytables
import time:      3941 |       3941 |               pandas.io.sas.sasreader
import time:      6997 |      10938 |             pandas.io.sas
import time:      3153 |       3153 |             pandas.io.spss
import time:      4064 |       4064 |             pandas.io.sql
import time:      6453 |       6453 |             pandas.io.xml
import time:      3581 |      85963 |           pandas.io.api
import time:      2700 |       2700 |           pandas.util._tester
import time:      2318 |       2318 |           pandas._version_meson
import time:      3821 |    1263683 |         pandas
import time:      6528 |       6528 |         yfinance.const
import time:      2669 |    1606968 |       yfinance.utils
import time:      6584 |       6584 |           _cffi_backend
import time:      2116 |       2116 |               email
import time:      2956 |       2956 |               importlib.metadata._meta
import time:      2083 |       2083 |               importlib.metadata._collections
import time:      3658 |       3658 |               importlib.metadata._functools
import time:      3223 |       3223 |               importlib.metadata._itertools
import time:      2777 |       2777 |                     importlib.resources.abc
import time:      3285 |       6062 |                   importlib.resources._common
import time:      2547 |       2547 |                   importlib.resources._functional
import time:      2011 |      10619 |                 importlib.resources
import time:      3076 |      13695 |               importlib.abc
import time:      3896 |      31625 |             importlib.metadata
import time:      4023 |       4023 |                 http
import time:      4956 |       8978 |               http.cookies
import time:      3317 |       3317 |                 certifi.core
import time:      4247 |       7564 |               certifi
import time:      7842 |       7842 |               curl_cffi._wrapper
import time:     12582 |      12582 |               curl_cffi.const
import time:      2104 |       2104 |               curl_cffi.utils
import time:      2196 |       2196 |               importlib.resources._adapters
import time:      1731 |       1731 |                   importlib.resources._itertools
import time:      2294 |       4024 |                 importlib.resources.readers
import time:      1913 |       5936 |               importlib.readers
import time:      3933 |      51131 |             curl_cffi.curl
import time:      2916 |       2916 |                 quopri
import time:      3659 |       3659 |                   email._parseaddr
import time:      3600 |       7258 |                 email.utils
import time:      3296 |       3296 |                 email.errors
import time:      3073 |       3073 |                     email.quoprimime
import time:      3019 |       3019 |                     email.base64mime
import time:      1576 |       1576 |                       email.encoders
import time:      1943 |       3519 |                     email.charset
import time:      3055 |      12663 |                   email.header
import time:      2229 |      14892 |                 email._policybase
import time:      1825 |       1825 |                 email._encoded_words
import time:      1515 |       1515 |                 email.iterators
import time:      3870 |      35570 |               email.message
import time:      1736 |       1736 |               importlib.metadata._text
import time:      3424 |      40729 |             importlib.metadata._adapters
import time:      2331 |       2331 |               email.feedparser
import time:      2385 |       4715 |             email.parser
import time:     17082 |     145281 |           curl_cffi.__version__
import time:      2033 |       2033 |                   concurrent
import time:      2335 |       2335 |                   concurrent.futures._base
import time:      2169 |       6537 |                 concurrent.futures
import time:        89 |         89 |                   _heapq
import time:      1880 |       1969 |                 heapq
import time:      4879 |       4879 |                   _socket
import time:      3732 |       3732 |                     select
import time:      2891 |       6622 |                   selectors
import time:      2675 |      14175 |                 socket
import time:      7205 |       7205 |                   _ssl
import time:      4032 |      11237 |                 ssl
import time:      2349 |       2349 |                 asyncio.constants
import time:      1687 |       1687 |                 asyncio.coroutines
import time:      1584 |       1584 |                   asyncio.format_helpers
import time:      2275 |       2275 |                     asyncio.base_futures
import time:      1730 |       1730 |                     asyncio.exceptions
import time:      1515 |       1515 |                     asyncio.base_tasks
import time:      4459 |       9978 |                   _asyncio
import time:      2147 |      13708 |                 asyncio.events
import time:      1631 |       1631 |                 asyncio.futures
import time:      1753 |       1753 |                 asyncio.protocols
import time:      1680 |       1680 |                   asyncio.transports
import time:      1452 |       1452 |                   asyncio.log
import time:      2632 |       5763 |                 asyncio.sslproto
import time:      1664 |       1664 |                     asyncio.mixins
import time:      2695 |       4358 |                   asyncio.locks
import time:      2189 |       2189 |                     asyncio.queues
import time:      2167 |       2167 |                     asyncio.timeouts
import time:      2454 |       6810 |                   asyncio.tasks
import time:      2473 |      13640 |                 asyncio.staggered
import time:      1867 |       1867 |                 asyncio.trsock
import time:      4171 |      80481 |               asyncio.base_events
import time:      3222 |       3222 |               asyncio.runners
import time:      3119 |       3119 |               asyncio.streams
import time:      2137 |       2137 |               asyncio.subprocess
import time:      1825 |       1825 |               asyncio.taskgroups
import time:      1628 |       1628 |               asyncio.threads
import time:      5971 |       5971 |                 _overlapped
import time:      2805 |       2805 |                 asyncio.base_subprocess
import time:      2690 |       2690 |                 asyncio.proactor_events
import time:      2693 |       2693 |                 asyncio.selector_events
import time:      1931 |       1931 |                 asyncio.windows_utils
import time:      2255 |      18343 |               asyncio.windows_events
import time:      2925 |     113676 |             asyncio
import time:      2116 |     115792 |           curl_cffi.aio
import time:      3709 |       3709 |                   http.client
import time:      1915 |       1915 |                     urllib.response
import time:      2406 |       4320 |                   urllib.error
import time:      2444 |       2444 |                   nturl2path
import time:      3641 |      14113 |                 urllib.request
import time:      8009 |      22121 |               http.cookiejar
import time:      2526 |       2526 |                 curl_cffi.requests.exceptions
import time:      2877 |       5403 |               curl_cffi.requests.errors
import time:      3133 |      30656 |             curl_cffi.requests.cookies
import time:      2321 |       2321 |             curl_cffi.requests.headers
import time:      5659 |       5659 |             curl_cffi.requests.impersonate
import time:      3973 |       3973 |                 _queue
import time:      2376 |       6349 |               queue
import time:       524 |        524 |               orjson
import time:       398 |        398 |               markdownify
import time:      4347 |      11616 |             curl_cffi.requests.models
import time:      2698 |       2698 |               concurrent.futures.thread
import time:      2874 |       2874 |               curl_cffi.requests.utils
import time:      2992 |       2992 |               curl_cffi.requests.websockets
import time:       592 |        592 |               gevent
import time:       426 |        426 |                 eventlet
import time:        31 |        456 |               eventlet.tpool
import time:      5472 |      15081 |             curl_cffi.requests.session
import time:      2108 |      67438 |           curl_cffi.requests
import time:      3423 |     338516 |         curl_cffi
import time:      3686 |       3686 |                   typing_extensions
import time:      2483 |       6169 |                 bs4._typing
import time:      6215 |       6215 |                   soupsieve.__meta__
import time:      1935 |       1935 |                     soupsieve.util
import time:      5041 |       5041 |                         soupsieve.pretty
import time:      4202 |       9242 |                       soupsieve.css_types
import time:      3257 |      12498 |                     soupsieve.css_match
import time:     30398 |      44831 |                   soupsieve.css_parser
import time:      3638 |      54683 |                 soupsieve
import time:      2982 |      63833 |               bs4.css
import time:      3802 |       3802 |               bs4._deprecation
import time:      5638 |       5638 |                       html.entities
import time:      3217 |       8855 |                     html
import time:        60 |       8915 |                   html.entities
import time:       606 |        606 |                   cchardet
import time:       408 |        408 |                   chardet
import time:      4293 |       4293 |                         charset_normalizer.constant
import time:      4172 |       4172 |                           charset_normalizer.md__mypyc
import time:       236 |        236 |                             _multibytecodec
import time:      2890 |       3126 |                           charset_normalizer.utils
import time:      7282 |      14578 |                         charset_normalizer.md
import time:      3743 |       3743 |                         charset_normalizer.models
import time:      3081 |      25694 |                       charset_normalizer.cd
import time:      3563 |      29256 |                     charset_normalizer.api
import time:      3058 |       3058 |                     charset_normalizer.legacy
import time:      2728 |       2728 |                     charset_normalizer.version
import time:      3387 |      38428 |                   charset_normalizer
import time:     25419 |      73775 |                 bs4.dammit
import time:      3101 |      76876 |               bs4.formatter
import time:      2426 |       2426 |               bs4._warnings
import time:      3012 |       3012 |               bs4.filter
import time:      4788 |     154734 |             bs4.element
import time:      2238 |       2238 |             bs4.exceptions
import time:      3962 |       3962 |                 _markupbase
import time:      3776 |       7737 |               html.parser
import time:      3139 |      10875 |             bs4.builder._htmlparser
import time:      1261 |       1261 |               html5lib
import time:      3284 |       4545 |             bs4.builder._html5lib
import time:      1251 |       1251 |               lxml
import time:      3444 |       4695 |             bs4.builder._lxml
import time:      4632 |     181716 |           bs4.builder
import time:      3702 |     185418 |         bs4
import time:       344 |        344 |           frozendict._frozendict
import time:      4021 |       4021 |           frozendict._frozendict_py
import time:      3193 |       3193 |           frozendict.version
import time:      2553 |       2553 |           frozendict.monkeypatch
import time:      1292 |       1292 |             array
import time:      2802 |       4093 |           frozendict.cool
import time:      1743 |       1743 |           orjson
import time:      5810 |      21754 |         frozendict
import time:       595 |        595 |             pysqlite3
import time:       394 |        394 |             pysqlite2
import time:     11373 |      11373 |                 _sqlite3
import time:      2764 |      14136 |               sqlite3.dbapi2
import time:      3323 |      17459 |             sqlite3
import time:      2550 |       2550 |             psycopg2cffi
import time:      1771 |       1771 |             psycopg2
import time:       458 |        458 |               psycopg2
import time:        45 |        503 |             psycopg2.extras
import time:       394 |        394 |             psycopg
import time:       399 |        399 |             pymysql
import time:       406 |        406 |             MySQLdb
import time:     15355 |      39823 |           peewee
import time:      3934 |       3934 |             platformdirs.api
import time:      2408 |       2408 |             platformdirs.version
import time:      3317 |       3317 |             platformdirs.windows
import time:      3695 |      13353 |           platformdirs
import time:     13266 |      66441 |         yfinance.cache
import time:      3059 |       3059 |         yfinance.exceptions
import time:      4076 |     619260 |       yfinance.data
import time:      3606 |    2299369 |     yfinance.search
import time:      5792 |       5792 |     yfinance.lookup
import time:      3110 |       3110 |                 websockets.imports
import time:      5074 |       5074 |                 websockets.version
import time:      3923 |      12106 |               websockets
import time:      2731 |      14837 |             websockets.sync
import time:      3177 |       3177 |               websockets.datastructures
import time:      3357 |       3357 |                   websockets.speedups
import time:      1858 |       1858 |                       websockets.typing
import time:      1848 |       3705 |                     websockets.extensions.base
import time:      1918 |       5623 |                   websockets.extensions
import time:      3599 |      12578 |                 websockets.frames
import time:      5228 |       5228 |                 websockets.http11
import time:      3845 |      21651 |               websockets.exceptions
import time:      4533 |       4533 |               websockets.headers
import time:      1801 |       1801 |                 websockets.streams
import time:      2794 |       4594 |               websockets.protocol
import time:      2755 |       2755 |               websockets.uri
import time:      2270 |       2270 |               websockets.utils
import time:      2954 |      41930 |             websockets.client
import time:      2692 |       2692 |             websockets.extensions.permessage_deflate
import time:      1646 |       1646 |                 websockets.sync.utils
import time:      1828 |       3474 |               websockets.sync.messages
import time:      2036 |       5509 |             websockets.sync.connection
import time:       457 |        457 |             python_socks
import time:      3238 |      68661 |           websockets.sync.client
import time:      1879 |       1879 |             websockets.asyncio
import time:      1945 |       1945 |             websockets.asyncio.compatibility
import time:      2342 |       2342 |               websockets.asyncio.messages
import time:      4012 |       6354 |             websockets.asyncio.connection
import time:       474 |        474 |             python_socks
import time:      2709 |      13358 |           websockets.asyncio.client
import time:       569 |        569 |               google
import time:      1745 |       2313 |             google.protobuf
import time:      1568 |       1568 |               google.protobuf.internal
import time:       464 |        464 |                 google.protobuf.internal._api_implementation
import time:      2280 |       2280 |                 google.protobuf.message
import time:      1695 |       1695 |                 google.protobuf.internal.enum_type_wrapper
import time:       130 |        130 |                 google.protobuf.enable_deterministic_proto_serialization
import time:      7125 |      11693 |               google.protobuf.internal.api_implementation
import time:      2269 |      15528 |             google.protobuf.descriptor
import time:      2029 |       2029 |               google.protobuf.descriptor_database
import time:      2018 |       2018 |               google.protobuf.text_encoding
import time:      3276 |       3276 |               google.protobuf.internal.python_edition_defaults
import time:      3531 |       3531 |                   encodings.raw_unicode_escape
import time:      2524 |       2524 |                   encodings.unicode_escape
import time:      3158 |       3158 |                     google.protobuf.internal.containers
import time:      1959 |       1959 |                       google.protobuf.internal.wire_format
import time:      2283 |       4241 |                     google.protobuf.internal.encoder
import time:      2241 |       9640 |                   google.protobuf.internal.decoder
import time:      2602 |       2602 |                   google.protobuf.internal.type_checkers
import time:      1921 |       1921 |                   google.protobuf.unknown_fields
import time:      3512 |      23727 |                 google.protobuf.text_format
import time:      2196 |       2196 |                 google.protobuf.internal.extension_dict
import time:      2065 |       2065 |                 google.protobuf.internal.message_listener
import time:      2221 |       2221 |                   google.protobuf.internal.field_mask
import time:      3090 |       5311 |                 google.protobuf.internal.well_known_types
import time:      3712 |      37010 |               google.protobuf.internal.python_message
import time:      2192 |      46523 |             google.protobuf.descriptor_pool
import time:      2332 |       2332 |                 google.protobuf.pyext
import time:      2431 |       2431 |                 google.protobuf.pyext.cpp_message
import time:      2155 |       6917 |               google.protobuf.message_factory
import time:      2799 |       2799 |               google.protobuf.symbol_database
import time:      1984 |      11700 |             google.protobuf.reflection
import time:      2132 |      78194 |           yfinance.pricing_pb2
import time:      3276 |       3276 |           google.protobuf.json_format
import time:      3789 |     167277 |         yfinance.live
import time:      1808 |       1808 |           yfinance.scrapers
import time:      2228 |       2228 |           yfinance.scrapers.quote
import time:      2140 |       6176 |         yfinance.scrapers.analysis
import time:      1990 |       1990 |         yfinance.scrapers.fundamentals
import time:      1839 |       1839 |         yfinance.scrapers.holders
import time:      2101 |       2101 |           yfinance.shared
import time:      3321 |       5421 |         yfinance.scrapers.history
import time:      2008 |       2008 |         yfinance.scrapers.funds
import time:      3931 |     188640 |       yfinance.base
import time:      5086 |     193725 |     yfinance.ticker
import time:      2313 |       2313 |               multiprocessing.process
import time:      2655 |       2655 |               multiprocessing.reduction
import time:      4274 |       9241 |             multiprocessing.context
import time:      3372 |      12612 |           multiprocessing
import time:      2993 |      15605 |         multitasking
import time:      2301 |      17905 |       yfinance.multi
import time:      2228 |      20133 |     yfinance.tickers
import time:      1645 |       1645 |           yfinance.domain.domain
import time:      1896 |       3540 |         yfinance.domain.sector
import time:      2660 |       2660 |         yfinance.domain.industry
import time:      2019 |       8218 |       yfinance.domain
import time:        90 |       8307 |     yfinance.domain.sector
import time:      2851 |       2851 |     yfinance.domain.market
import time:      2579 |       2579 |         yfinance.screener.query
import time:      2654 |       2654 |         yfinance.screener.screener
import time:      2077 |       7309 |       yfinance.screener
import time:        45 |       7353 |     yfinance.screener.query
import time:      5597 |    2546085 |   yfinance
import time:      3048 |       3048 |         packaging
import time:      1857 |       1857 |         packaging._structures
import time:      4788 |       9693 |       packaging.version
import time:      1988 |       1988 |         matplotlib._api.deprecation
import time:      2432 |       4419 |       matplotlib._api
import time:      1601 |       1601 |       matplotlib._version
import time:      3995 |       3995 |         shlex
import time:      2567 |       2567 |         matplotlib._c_internal_utils
import time:      3862 |      10423 |       matplotlib.cbook
import time:      1865 |       1865 |       matplotlib._docstring
import time:      2001 |       2001 |           matplotlib.backends.registry
import time:      1778 |       3778 |         matplotlib.backends
import time:      1876 |       1876 |             PIL._version
import time:      2661 |       4536 |           PIL
import time:      5092 |       5092 |             PIL.ExifTags
import time:      2506 |       2506 |               PIL._deprecate
import time:      2762 |       5267 |             PIL.ImageMode
import time:      2704 |       2704 |             PIL.TiffTags
import time:      1746 |       1746 |             PIL._binary
import time:      2352 |       2352 |               PIL._typing
import time:      1576 |       3928 |             PIL._util
import time:       457 |        457 |             defusedxml
import time:      5685 |       5685 |             PIL._imaging
import time:      4808 |      29683 |           PIL.Image
import time:      3826 |       3826 |             PIL.ImageChops
import time:      4034 |       4034 |             PIL.ImageFile
import time:      3009 |       3009 |               PIL.GimpGradientFile
import time:      3367 |       3367 |               PIL.GimpPaletteFile
import time:      3024 |       3024 |               PIL.ImageColor
import time:      2207 |       2207 |               PIL.PaletteFile
import time:      2513 |      14118 |             PIL.ImagePalette
import time:      2344 |       2344 |             PIL.ImageSequence
import time:      6061 |      30381 |           PIL.PngImagePlugin
import time:      3244 |       3244 |           matplotlib._cm
import time:      4238 |       4238 |                 matplotlib._path
import time:      2332 |       2332 |                   matplotlib.bezier
import time:      3061 |       5392 |                 matplotlib.path
import time:      5004 |      14633 |               matplotlib.transforms
import time:      4023 |      18655 |             matplotlib.ticker
import time:      2857 |      21511 |           matplotlib.scale
import time:      2638 |       2638 |           matplotlib._image
import time:      2788 |       2788 |           matplotlib._color_data
import time:      4714 |      99493 |         matplotlib.colors
import time:      2230 |       2230 |             pyparsing.util
import time:      2143 |       2143 |               pyparsing.unicode
import time:      3524 |       5666 |             pyparsing.exceptions
import time:      3033 |       3033 |               pyparsing.results
import time:      2254 |       5287 |             pyparsing.actions
import time:     13108 |      13108 |             pyparsing.core
import time:      5252 |       5252 |             pyparsing.helpers
import time:      2506 |       2506 |             pyparsing.testing
import time:      8532 |       8532 |             pyparsing.common
import time:      4238 |      46816 |           pyparsing
import time:      3337 |      50152 |         matplotlib._fontconfig_pattern
import time:      2704 |       2704 |         matplotlib._enums
import time:      2979 |       2979 |         cycler
import time:      2684 |     161787 |       matplotlib.rcsetup
import time:      4248 |       4248 |       matplotlib.ft2font
import time:      2802 |       2802 |         kiwisolver.exceptions
import time:      5258 |       8060 |       kiwisolver._cext
import time:      5305 |       5305 |           matplotlib.artist
import time:      3843 |       9147 |         matplotlib.colorizer
import time:      3169 |       3169 |         matplotlib._cm_listed
import time:      3506 |       3506 |         matplotlib._cm_multivar
import time:      3013 |       3013 |         matplotlib._cm_bivar
import time:      6377 |      25209 |       matplotlib.cm
import time:     18256 |     245557 |     matplotlib
import time:      2328 |       2328 |         matplotlib.hatch
import time:      2913 |       2913 |           matplotlib.markers
import time:      8556 |      11468 |         matplotlib.lines
import time:     30549 |      44344 |       matplotlib.collections
import time:      2585 |       2585 |             matplotlib._pylab_helpers
import time:      5130 |       7715 |           matplotlib.backend_tools
import time:      3378 |       3378 |                     xml
import time:      2588 |       5966 |                   xml.parsers
import time:      3903 |       3903 |                   pyexpat
import time:      1836 |      11704 |                 xml.parsers.expat
import time:      3635 |      15339 |               plistlib
import time:      3287 |       3287 |                 matplotlib._mathtext_data
import time:      2341 |       5628 |               matplotlib._afm
import time:      9403 |      30368 |             matplotlib.font_manager
import time:     22906 |      22906 |             matplotlib.patches
import time:      4354 |       4354 |               matplotlib._text_helpers
import time:      3562 |       3562 |               matplotlib.dviread
import time:      5014 |       5014 |                 matplotlib._mathtext
import time:      2422 |       7435 |               matplotlib.mathtext
import time:      2347 |       2347 |               matplotlib.texmanager
import time:      2707 |      20405 |             matplotlib.textpath
import time:     10875 |      84553 |           matplotlib.text
import time:      2391 |       2391 |           matplotlib._tight_bbox
import time:      3958 |       3958 |           matplotlib.widgets
import time:      2314 |       2314 |           matplotlib.backend_managers
import time:      1935 |       1935 |               matplotlib._layoutgrid
import time:      2653 |       4587 |             matplotlib._constrained_layout
import time:      2327 |       2327 |             matplotlib._tight_layout
import time:      3203 |      10116 |           matplotlib.layout_engine
import time:      7870 |     118913 |         matplotlib.backend_bases
import time:      6455 |     125367 |       matplotlib.contour
import time:      5837 |       5837 |       matplotlib.spines
import time:      4032 |     179579 |     matplotlib.colorbar
import time:     14646 |      14646 |     matplotlib.image
import time:    112415 |     112415 |       matplotlib.style.core
import time:      3801 |     116216 |     matplotlib.style
import time:      2650 |       2650 |       matplotlib._blocking_input
import time:      9013 |       9013 |             matplotlib.offsetbox
import time:      2860 |       2860 |               matplotlib.units
import time:     10150 |      13010 |             matplotlib.axis
import time:      2968 |       2968 |             matplotlib.gridspec
import time:      3989 |       3989 |             matplotlib.table
import time:     10513 |      39491 |           matplotlib.axes._base
import time:      1924 |       1924 |             matplotlib.category
import time:      2534 |       2534 |               dateutil.rrule
import time:      2347 |       4880 |             matplotlib.dates
import time:      4428 |       4428 |             matplotlib.inset
import time:      2529 |       2529 |               matplotlib.container
import time:      2955 |       2955 |               matplotlib.legend_handler
import time:      4682 |      10165 |             matplotlib.legend
import time:      2783 |       2783 |             matplotlib.mlab
import time:     11564 |      11564 |             matplotlib.quiver
import time:      2282 |       2282 |             matplotlib.stackplot
import time:      2443 |       2443 |             matplotlib.streamplot
import time:      3022 |       3022 |               matplotlib.tri._triangulation
import time:      3819 |       3819 |               matplotlib.tri._tricontour
import time:      2468 |       2468 |               matplotlib.tri._trifinder
import time:      4650 |       4650 |                 matplotlib.tri._tritools
import time:      3230 |       7880 |               matplotlib.tri._triinterpolate
import time:      3702 |       3702 |               matplotlib.tri._tripcolor
import time:      2431 |       2431 |               matplotlib.tri._triplot
import time:      2379 |       2379 |               matplotlib.tri._trirefine
import time:      5882 |      31580 |             matplotlib.tri
import time:      8166 |       8166 |             matplotlib.axes._secondary_axes
import time:     28204 |     108414 |           matplotlib.axes._axes
import time:      2133 |     150037 |         matplotlib.axes
import time:     15534 |      15534 |         matplotlib.projections.geo
import time:     12719 |      12719 |         matplotlib.projections.polar
import time:      1160 |       1160 |           mpl_toolkits
import time:      2687 |       2687 |               mpl_toolkits.mplot3d.proj3d
import time:     21490 |      24177 |             mpl_toolkits.mplot3d.art3d
import time:      6982 |       6982 |             mpl_toolkits.mplot3d.axis3d
import time:     13268 |      44426 |           mpl_toolkits.mplot3d.axes3d
import time:      3301 |      48887 |         mpl_toolkits.mplot3d
import time:      2416 |     229591 |       matplotlib.projections
import time:      6915 |     239155 |     matplotlib.figure
import time:      9075 |     804225 |   matplotlib.pyplot
import time:      1728 |       1728 |         ta.utils
import time:      2368 |       4096 |       ta.momentum
import time:      1759 |       1759 |       ta.others
import time:      2661 |       2661 |       ta.trend
import time:      2931 |       2931 |       ta.volatility
import time:      3013 |       3013 |       ta.volume
import time:      2681 |      17139 |     ta.wrapper
import time:      4491 |      21629 |   ta
import time:      3369 |       3369 |       urllib3.exceptions
import time:      3234 |       3234 |               urllib3.util.timeout
import time:      3370 |       6604 |             urllib3.util.connection
import time:      2337 |       2337 |               urllib3.util.util
import time:       752 |        752 |               brotlicffi
import time:       597 |        597 |               brotli
import time:      1189 |       1189 |               zstandard
import time:      6392 |      11266 |             urllib3.util.request
import time:      5919 |       5919 |             urllib3.util.response
import time:      2872 |       2872 |             urllib3.util.retry
import time:     12958 |      12958 |               urllib3.util.url
import time:      2973 |       2973 |               urllib3.util.ssltransport
import time:      2601 |      18531 |             urllib3.util.ssl_
import time:      3737 |       3737 |             urllib3.util.wait
import time:      3781 |      52708 |           urllib3.util
import time:        70 |      52778 |         urllib3.util.connection
import time:      3680 |      56457 |       urllib3._base_connection
import time:      3100 |       3100 |       urllib3._collections
import time:      2368 |       2368 |       urllib3._version
import time:      3156 |       3156 |               mimetypes
import time:      3934 |       7090 |             urllib3.fields
import time:      2519 |       9609 |           urllib3.filepost
import time:       758 |        758 |             brotlicffi
import time:       542 |        542 |             brotli
import time:       547 |        547 |             zstandard
import time:      5177 |       5177 |               urllib3.http2
import time:      3218 |       3218 |               urllib3.http2.probe
import time:      2753 |       2753 |               urllib3.util.ssl_match_hostname
import time:      3820 |      14966 |             urllib3.connection
import time:      3986 |      20797 |           urllib3.response
import time:      2735 |      33140 |         urllib3._request_methods
import time:      2898 |       2898 |         urllib3.util.proxy
import time:      2748 |      38785 |       urllib3.connectionpool
import time:      6552 |       6552 |       urllib3.poolmanager
import time:      2934 |     113563 |     urllib3
import time:       607 |        607 |         simplejson
import time:      4000 |       4606 |       requests.compat
import time:      4576 |       9181 |     requests.exceptions
import time:       720 |        720 |     chardet
import time:      4450 |       4450 |           idna.idnadata
import time:      5268 |       5268 |           idna.intranges
import time:      4672 |      14388 |         idna.core
import time:      3604 |       3604 |         idna.package_data
import time:      4193 |      22185 |       idna
import time:      6736 |      28920 |     requests.packages
import time:      4277 |       4277 |       requests.certs
import time:      5496 |       5496 |       requests.__version__
import time:      3637 |       3637 |       requests._internal_utils
import time:      3645 |       3645 |       requests.cookies
import time:      5297 |       5297 |       requests.structures
import time:      4151 |      26501 |     requests.utils
import time:      3847 |       3847 |           requests.auth
import time:     11046 |      11046 |               stringprep
import time:      4072 |      15118 |             encodings.idna
import time:      4082 |       4082 |             requests.hooks
import time:      3938 |       3938 |             requests.status_codes
import time:      6004 |      29140 |           requests.models
import time:      4870 |       4870 |             urllib3.contrib
import time:      1034 |       1034 |             socks
import time:      6446 |      12349 |           urllib3.contrib.socks
import time:    486061 |     531397 |         requests.adapters
import time:      3668 |     535064 |       requests.sessions
import time:      4134 |     539198 |     requests.api
import time:      3026 |     721107 |   requests
import time:      8407 |       8407 |     trading_c
import time:      4798 |      13205 |   qsi_optimized
import time:      6085 |    4112334 | qsi
