ticker,nom,secteur,prix,market_cap_B,score,C1_CA_Growth_%,C1_ok,C2_Marge_%,C2_ok,C3_Underval,C3_ok,C4_Momentum_%,C4_ok,C5_VolRatio,C5_ok
DLO,DLocal Limited,Technology,14.03,2.327264984625858,4,65.233188746693,True,34.27270063660336,True,2,True,8.50734262825259,True,1.1961191513966316,False
SBAC,SBA Communications Corporation,Real Estate,218.44,23.168405692422912,4,3.731151794723944,False,75.62199218158294,True,2,True,18.158710559244096,True,1.3337660434889076,True
ADUS,Addus HomeCare Corporation,Healthcare,96.64,1.8037639412479247,3,25.554613251487496,True,33.13114147711739,True,2,True,-8.484847740474578,False,1.0640541537173598,False
CCCC,"C4 Therapeutics, Inc.",Healthcare,2.93,0.32282986269536446,3,112.78732856866911,True,,False,0,False,55.02645973195317,True,1.2127909787193545,True
PR,Permian Resources Corporation,Energy,21.21,17.867092804358848,3,-9.776626615157541,False,34.760571522395,True,2,True,27.694149940333634,True,1.0199871805106933,False
CM,Canadian Imperial Bank of Comme,Financial Services,112.22,103.28168227561417,3,14.740761169332597,False,,False,2,True,18.17607656132838,True,1.2142681503931234,True
MARA,"MARA Holdings, Inc.",Financial Services,13.03,4.967000248129349,3,-5.634486039721261,False,74.91523077987682,True,2,True,57.367151608536496,True,1.0190198209751709,False
LVS,Las Vegas Sands Corp.,Consumer Cyclical,53.22,35.26555924538345,3,26.001381215469614,True,48.45163058372157,True,2,True,-7.443476137907612,False,0.8389758946223572,False
RMAX,"RE/MAX Holdings, Inc.",Real Estate,10.63,0.22570482587990284,3,-1.8353181448107416,False,75.32085974949744,True,0,False,46.01648088030426,True,2.143524386742726,True
MPLX,MPLX LP,Energy,55.66,56.480078644703916,3,1.9014084507042253,False,43.60746371803732,True,2,True,0.12592137908271628,False,1.2231836401345666,True
QLYS,"Qualys, Inc.",Technology,90.84,3.1991127869114684,3,10.107983491529044,False,83.35995709770542,True,3,True,-29.67951580096244,False,1.24043533803235,True
FLY,Firefly Aerospace Inc.,Industrials,34.55,5.5361266251002315,3,538.3993801195484,True,27.674995231737554,False,1,False,41.54035007387948,True,1.4327637744368,True
PBI,Pitney Bowes Inc.,Industrials,15.03,2.157378807071171,3,-7.458716076268937,False,55.05071970688301,True,1,False,42.73504381875477,True,1.2224541879313082,True
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,26.98,1.604543983596058,3,86.08574091332713,True,90.58947262983924,True,1,False,-2.5992823136179566,False,1.3003462112774145,True
CTRA,Coterra Energy Inc.,Energy,32.56,24.724652557457624,3,40.43010752688172,True,37.4170495150587,True,2,True,6.789116489707792,False,0.8659949277201239,False
CEVA,"CEVA, Inc.",Technology,34.66,0.9656057252889977,2,7.076617732607877,False,88.07963951295899,True,0,False,67.68263047644129,False,1.3062674524022673,True
AJG,Arthur J. Gallagher & Co.,Financial Services,196.91,50.594450160949705,2,33.586156111929306,True,37.95546000771732,True,1,False,-21.093968641920103,False,0.8260918894657041,False
MKL,Markel Group Inc.,Financial Services,1785.58,22.344229751881105,2,4.654511367931096,False,,False,2,True,-13.071550857715541,False,1.2470395560496312,True
TEL,TE Connectivity plc,Technology,216.17,63.09911433535283,2,21.715328467153284,True,37.24566288284429,True,1,False,0.1760993997106386,False,1.0875974775412582,False
BC94.L,SAMSUNG ELECTRONICS CO LTD (ATT,Technology,,,2,23.815165906480857,True,47.15709160266223,True,0,False,,False,0.593821597678326,False
KMTS,"Kestra Medical Technologies, Lt",Healthcare,20.71,1.2089120871875991,2,62.70377733598409,True,52.56598240469208,True,1,False,-19.03831451821142,False,0.9056854714314826,False
